Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
106	723.25	379.32877	999.0	-116.0	259.5625	34.79326	66.51825	172.016	-9.84317	535000	3.2043456e-08	45309.082	-0.007208499	-7425.2305	0.39221346	0.01194019	0.1652	13.0	292.93888998031616
107	663.26666	446.46826	981.0	-204.0	312.33334	137.94742	72.42777	183.72673	-2.7877223	540000	-3.4713747e-08	50609.484	-0.010983225	-9606.129	0.24738139	0.014491014	0.0574	50.0	295.67513489723206
108	313.25	499.10138	977.0	-339.0	580.875	31.036385	66.710846	184.44553	-9.678071	545000	1.525879e-08	13053.822	-0.010702493	-2244.5596	0.47308305	0.01640153	0.0904	58.0	298.4225609302521
109	465.8889	515.8407	995.0	-142.0	483.55554	15.8655405	58.456337	188.60942	-10.346993	550000	-2.117157e-08	25076.703	-0.007063717	-8178.8516	0.503174	0.015079623	0.0692	26.0	300.94653582572937
110	589.25	480.00644	989.0	-203.0	372.5	69.10945	88.75161	190.72075	-8.579142	555000	1.7285346e-08	32857.332	-0.009140078	-8870.582	0.32429218	0.0050374838	0.0832	79.0	304.24175572395325
111	663.05884	531.03	996.0	-625.0	243.88235	100.763336	76.727165	200.53922	-1.9691265	560000	-2.3078918e-08	44508.605	-0.011882656	-12122.941	0.4618226	0.016039846	0.0862	55.0	306.9658019542694
112	482.22223	493.0235	989.0	-99.0	485.1111	54.740093	91.95753	213.14714	-3.649501	565000	-5.8937072e-08	21854.22	-0.0074014207	-3643.3047	0.42599258	0.013764212	0.1292	14.0	309.52304792404175
113	403.55554	599.3202	990.0	-471.0	487.66666	21.572495	63.90715	211.1562	-5.591372	570000	1.9025803e-08	20170.803	-0.007507604	-6726.199	0.3082052	0.01640833	0.0832	30.0	312.133318901062
114	767.7273	365.9804	991.0	-151.0	204.72728	17.465397	68.81452	212.43591	-12.206227	575000	-3.5476685e-08	56346.438	-0.0017644729	-13631.793	0.43523115	0.017477792	0.05	2.0	314.55975699424744
115	554.0	551.3284	997.0	-666.0	363.3846	134.58772	89.30353	225.3961	-4.8769464	580000	-2.002716e-08	38435.332	-0.0054462026	-17275.889	0.39591312	0.028678391	0.1398	5.0	316.93208289146423
116	514.7273	547.2523	995.0	-571.0	413.45456	17.423437	66.94594	226.24162	-7.574877	585000	-1.1558533e-07	19758.752	-0.0052955137	-2691.873	0.38004962	0.016019676	0.1194	9.0	319.44756388664246
117	686.25	417.6671	999.0	-187.0	280.5625	104.084175	114.39303	230.80008	-8.368154	590000	6.3896177e-09	45551.09	-0.0038357317	-11666.797	0.47190493	0.014894327	0.0994	6.0	321.9028539657593
118	289.0	604.823	977.0	-515.0	579.8571	39.07454	89.09908	232.61919	-8.881794	595000	-4.3296815e-08	16100.486	-0.005696269	-9302.41	0.6494226	0.019187687	0.089	6.0	324.3462860584259
119	493.6	498.09558	995.0	-153.0	459.3	31.745138	92.33192	226.5493	-18.261211	600000	-9.059906e-09	14606.147	-0.009872949	-1504.5537	0.48356298	0.011024358	0.115	79.0	327.2456729412079
120	620.2143	461.48782	989.0	-200.0	344.64285	23.272154	64.05415	234.02408	-10.862009	605000	-1.4877319e-08	33921.664	-0.00036297418	-5990.4863	0.4638776	0.021680422	0.1084	17.0	330.2994728088379
121	656.26666	457.69446	989.0	-170.0	288.6	37.41558	83.67755	238.78381	-10.343492	610000	2.2220611e-08	26614.72	-0.008684642	-2303.8848	0.49723583	0.01554124	0.0694	23.0	332.9033987522125
122	702.1579	450.9247	999.0	-419.0	261.57895	134.07188	118.5157	244.55997	-10.177211	615000	-3.9339067e-08	60787.71	0.0064656357	-5613.0312	0.4353787	0.05600545	0.2364	5.0	335.3953158855438
123	763.3158	358.24365	989.0	-69.0	220.6842	38.6985	99.79717	242.02234	-19.167795	620000	-5.7685376e-08	36862.605	-0.014484677	-3299.8867	0.33193922	0.016735544	0.0786	41.0	338.0566189289093
